Year,England Points,England Tries,Wales Points,Wales Tries,Scotland Points,Scotland Tries,Ireland Points,Ireland Tries,France Points,France Tries,Italy Points,Italy Tries
2000,183,20,111,8,95,9,168,17,140,12,106,9
2001,229,28,125,10,116,8,129,11,115,9,106,8
2002,184,23,119,11,91,6,145,16,156,15,70,4
2003,173,18,82,10,81,7,119,10,153,17,100,12
2004,150,17,125,14,53,4,128,17,144,14,42,2
2005,121,16,151,17,84,8,126,12,134,13,55,5
2006,120,12,80,9,78,5,131,12,148,18,72,5
2007,119,10,86,7,95,7,149,17,155,15,94,9
2008,108,8,148,13,69,3,93,9,103,11,74,6
2009,124,16,100,8,79,4,121,12,124,14,49,2
2010,88,6,113,10,83,3,106,9,135,13,69,5
2011,132,13,95,6,82,6,93,10,117,10,70,6